	PD_whole_tree	shannon	chao1	simpson	observed_otus
MCT.f.0536	29.0	2.0487949407	6.0	0.734375	5.0
MCT.f.0537	23.0	1.8262452584	4.0	0.698224852071	4.0
MCT.f.0539	35.0	2.25845989274	6.5	0.753086419753	6.0
MCT.f.0540	23.0	1.64022392894	4.0	0.622222222222	4.0
MCT.f.0552	24.0	1.83659166811	4.0	0.691358024691	4.0
MCT.f.0373	45.0	3.08496250072	12.75	0.875	9.0
MCT.f.0556	11.0	1.0	2.0	0.5	2.0
MCT.f.0064	34.0	2.55034070955	6.0	0.826446280992	6.0
MCT.f.0068	38.0	1.97095059445	9.0	0.61	7.0
MCT.f.0104	70.0	3.37920520143	16.0	0.8624	15.0
MCT.f.0106	71.0	3.33772649701	17.3333333333	0.869135802469	14.0
MCT.f.0111	69.0	3.3624145847	16.0	0.8725	14.0
MCT.f.0222	29.0	2.11749246118	5.0	0.736111111111	5.0
MCT.f.0236	29.0	2.14182159602	5.0	0.747922437673	5.0
MCT.f.0314	40.0	2.52205520887	17.0	0.791666666667	7.0
MCT.f.0317	47.0	2.60315798687	20.5	0.769230769231	10.0
MCT.f.0067	61.0	3.31907957062	17.0	0.8832	12.0
MCT.f.0546	23.0	1.76096404744	4.0	0.66	4.0
MCT.f.0554	34.0	2.12581458369	9.0	0.694444444444	6.0
MCT.f.0311	44.0	2.86382639009	8.25	0.851851851852	8.0
MCT.f.0315	38.0	2.39269319677	14.0	0.753333333333	8.0
MCT.f.0209	31.0	2.52164063634	11.0	0.816326530612	6.0
MCT.f.0419	22.0	1.88791850267	4.0	0.708333333333	4.0
MCT.f.0161	22.0	1.84237099318	4.0	0.69387755102	4.0
MCT.f.0309	11.0	0.413816850304	2.0	0.152777777778	2.0
MCT.f.0312	29.0	2.10845859334	5.0	0.7421875	5.0
MCT.f.0341	23.0	1.89106111207	4.0	0.716049382716	4.0
MCT.f.0342	20.0	1.78193706355	4.0	0.684444444444	4.0
MCT.f.0344	12.0	0.918295834054	2.0	0.444444444444	2.0
MCT.f.0345	30.0	2.40563906223	16.0	0.78125	6.0
MCT.f.0346	20.0	1.36052731144	4.0	0.493074792244	4.0
MCT.f.0362	17.0	1.04085208297	3.0	0.402777777778	3.0
MCT.f.0382	42.0	2.89629152905	8.6	0.857142857143	8.0
MCT.f.0560	23.0	1.96096404744	6.5	0.68	5.0
MCT.f.0044	50.0	2.89248665057	14.3333333333	0.814878892734	11.0
MCT.f.0224	34.0	2.35538854221	7.5	0.777777777778	6.0
MCT.f.0230	29.0	1.95914791703	5.33333333333	0.680555555556	5.0
MCT.f.0429	43.0	2.875	8.16666666667	0.8515625	8.0
MCT.f.0430	27.0	2.23592635063	6.0	0.775510204082	5.0
MCT.f.0223	27.0	2.09227186568	5.0	0.737777777778	5.0
MCT.f.0225	27.0	2.15563906223	6.5	0.75	5.0
